id,host_id_fk,listings_group
VAU9551816318,68063049,Single-listing Hosts
MEN7367664957,48696842,Single-listing Hosts
BUT6257098905,57839895,2-3 listing Hosts
MEN3941279906,57534501,Single-listing Hosts
OPE5676614668,17949953,Single-listing Hosts
MEN0709583184,145524,Single-listing Hosts
BOU3513921671,53732221,Single-listing Hosts
HOT7518388289,70584609,2-3 listing Hosts
BOU5378930975,62531480,Single-listing Hosts
ENT5884237786,15437226,Single-listing Hosts
BUT3888162448,28590403,Single-listing Hosts
BAT0931665568,82483023,Single-listing Hosts
ENT9781104173,99684886,Single-listing Hosts
POP2198557780,26725473,Single-listing Hosts
BOU2589650934,95259910,Single-listing Hosts
BAT7570784203,25755654,Single-listing Hosts
ENT6709962557,49726102,Single-listing Hosts
ENT4568971673,5174123,Single-listing Hosts
HOT7291669392,51128617,Single-listing Hosts
BUT0712367808,57301133,2-3 listing Hosts
REU8167951979,80922016,2-3 listing Hosts
LUX9725739343,77591164,Single-listing Hosts
BUT7584949377,61736222,Single-listing Hosts
TEM5850849430,43707887,10+ listing Hosts
OBS1575000017,65080243,2-3 listing Hosts
OPE9771582522,16667011,Single-listing Hosts
PAS3791000455,82844553,Single-listing Hosts
TEM4965583658,57301133,2-3 listing Hosts
PAN6721253513,42083189,Single-listing Hosts
TEM8750459783,68381617,Single-listing Hosts
BOU9995427752,1408284,Single-listing Hosts
POP7714964559,8935972,Single-listing Hosts
POP9966402948,52110963,Single-listing Hosts
ENT6201757055,65350886,Single-listing Hosts
PAS9474266924,16465261,Single-listing Hosts
TEM6581756260,90210474,Single-listing Hosts
BUT3057060261,25057502,Single-listing Hosts
TEM5886522620,65073112,2-3 listing Hosts
OBS7992437195,68168585,Single-listing Hosts
POP5669455155,59394794,Single-listing Hosts
MEN8028448249,53777403,Single-listing Hosts
BUT3395142760,21720568,Single-listing Hosts
POP7401707286,78515286,Single-listing Hosts
POP0161605967,5829287,Single-listing Hosts
BOU5310991061,88573651,Single-listing Hosts
REU2347229377,31520239,Single-listing Hosts
TEM2188615252,85435138,Single-listing Hosts
HOT5254101510,19207025,Single-listing Hosts
HOT2694334791,45670403,Single-listing Hosts
REU5815658764,47864861,Single-listing Hosts
PAS9645180064,12859743,Single-listing Hosts
MEN5575034993,11703907,Single-listing Hosts
BUT2706632602,25891747,Single-listing Hosts
PAN2449890614,89916390,Single-listing Hosts
VAU7350402549,77008371,Single-listing Hosts
BUT2652225682,78615450,Single-listing Hosts
BOU1484789540,66347647,4-9 listing Hosts
BUT1628418754,55555081,Single-listing Hosts
BUT0406170131,20536662,Single-listing Hosts
MEN3091424424,19977143,Single-listing Hosts
PAS4649100463,68807134,Single-listing Hosts
BUT3582753168,40092338,Single-listing Hosts
TEM0185925398,34408046,2-3 listing Hosts
POP5995689746,44840114,Single-listing Hosts
ELY5270880275,80482760,Single-listing Hosts
LUX0604884156,60073147,Single-listing Hosts
POP8565188831,65614387,Single-listing Hosts
BUT7669562483,42443904,Single-listing Hosts
MEN3975576424,84116717,Single-listing Hosts
POP8291716460,99809891,Single-listing Hosts
PAS9627016425,65584977,Single-listing Hosts
BAT3710052287,56449721,Single-listing Hosts
PAN8127756045,19926698,Single-listing Hosts
LUX7495263199,63838655,Single-listing Hosts
OBS7116723955,78269572,Single-listing Hosts
GOB8757231243,693115,Single-listing Hosts
ENT5926259824,49309129,Single-listing Hosts
VAU0618603525,40969927,Single-listing Hosts
REU4928248022,69734977,Single-listing Hosts
BUT5668642905,5003037,2-3 listing Hosts
GOB8737746767,56674542,2-3 listing Hosts
REU7673065920,47130285,Single-listing Hosts
TEM1743599867,4241455,Single-listing Hosts
OPE5894019281,56315950,Single-listing Hosts
MEN4586251824,9108824,4-9 listing Hosts
BUT0674792204,76211255,Single-listing Hosts
BUT4850042432,67618257,Single-listing Hosts
ENT9606291332,49584274,Single-listing Hosts
BUT3482336003,61724002,Single-listing Hosts
TEM9745227486,80462163,2-3 listing Hosts
ENT8450883931,43315937,Single-listing Hosts
HOT6034427123,54711168,Single-listing Hosts
POP9037190128,52959691,2-3 listing Hosts
ENT6321282069,72094137,Single-listing Hosts
BUT5530144844,62516538,Single-listing Hosts
HOT8644230670,7457542,2-3 listing Hosts
TEM8588884822,37892544,Single-listing Hosts
POP6723513511,37460381,Single-listing Hosts
POP8368986557,69381125,Single-listing Hosts
PAS8292506464,62694024,Single-listing Hosts
BOU1501675702,32768517,Single-listing Hosts
BUT1092716190,42291887,Single-listing Hosts
HOT7163802234,86810397,Single-listing Hosts
LUX7392393852,13351307,Single-listing Hosts
BUT1202019902,71765882,Single-listing Hosts
POP5002912613,4142508,2-3 listing Hosts
ENT1726875057,44172013,2-3 listing Hosts
BAT8927006084,93296231,Single-listing Hosts
REU2692266281,93460511,Single-listing Hosts
POP2055283837,26172549,Single-listing Hosts
PAN5227710144,82615479,Single-listing Hosts
MEN4833390403,75843793,Single-listing Hosts
OBS9614818555,43276177,Single-listing Hosts
BOU7339091038,97864150,Single-listing Hosts
OBS4593311637,75580452,Single-listing Hosts
BUT2048879181,2257327,10+ listing Hosts
TEM0777870961,47106730,Single-listing Hosts
BOU8256709650,40322453,Single-listing Hosts
BUT7175753236,23328811,Single-listing Hosts
OPE0670520060,74672625,Single-listing Hosts
BUT0933824753,38405208,Single-listing Hosts
BOU8473392566,75542788,Single-listing Hosts
TEM7980266465,64022783,Single-listing Hosts
MEN3783733314,92366406,Single-listing Hosts
PAS0091494844,75171758,2-3 listing Hosts
TEM7825999517,55644746,Single-listing Hosts
BUT5648579231,68212150,Single-listing Hosts
PAS4870018206,90639469,Single-listing Hosts
POP1337633977,3058294,Single-listing Hosts
BUT9275543295,68272434,Single-listing Hosts
BUT3106914144,12398173,Single-listing Hosts
BUT7659288684,25226944,4-9 listing Hosts
BAT0284572817,22659556,Single-listing Hosts
ENT3966855605,40367532,Single-listing Hosts
LOU3226250410,63557791,Single-listing Hosts
ENT2384049325,58371643,Single-listing Hosts
BUT1396076277,58323655,Single-listing Hosts
HOT5674658715,36902428,Single-listing Hosts
POP4868216212,77697387,Single-listing Hosts
VAU1923728127,3402624,Single-listing Hosts
PAN6766111355,8853814,Single-listing Hosts
MEN4928430802,47355778,Single-listing Hosts
BUT6293656380,6891354,Single-listing Hosts
LUX9388061571,94167368,10+ listing Hosts
ENT0235655698,73564912,Single-listing Hosts
GOB2448261152,33485861,Single-listing Hosts
LUX9645113638,46153458,2-3 listing Hosts
OPE0077249182,78536538,Single-listing Hosts
ENT7527043677,2726220,Single-listing Hosts
HOT6172471872,25546988,Single-listing Hosts
BUT4409810345,81277034,Single-listing Hosts
BUT2545049698,1569333,Single-listing Hosts
VAU1420680097,64289014,Single-listing Hosts
HOT3377916428,29629738,Single-listing Hosts
LUX5310861486,53137838,Single-listing Hosts
MEN8271788889,60365225,Single-listing Hosts
ENT4220931780,95098868,Single-listing Hosts
OBS2551248367,99011995,Single-listing Hosts
GOB0854986383,55734339,Single-listing Hosts
POP7300334037,71819855,Single-listing Hosts
PAL8520245974,97373133,Single-listing Hosts
POP8867970122,81126168,Single-listing Hosts
MEN9771966903,76660606,Single-listing Hosts
ENT1097734253,72572562,Single-listing Hosts
OBS9177924147,639418,Single-listing Hosts
POP1310846040,71626845,Single-listing Hosts
POP2362838222,12684798,2-3 listing Hosts
